Module                  Size  Used by
system_heap            36864  84 ged,mtk_heap_debug,mtk_sec_heap,mtk_mml_legacy,[permanent]
mtk_mm_heap            16384  0 [permanent]
mtk_iommu             106496  1 mtk_sec_heap
iommu_secure           36864  1 mtk_iommu
iommu_debug           151552  6 mdp_drv_mt6768,mtk_vcodec_enc_v1,mtk_vcodec_dec_v1,mediatek_drm,mtk_cmdq_drv_ext,mtk_iommu
mtk_smi_dbg            36864  6 camera_isp_4_t,mdp_drv_mt6768,mediatek_drm,mtk_cmdq_drv_ext,mtk_mmdvfs,mtk_iommu,[permanent]
mtk_smi               192512  14 mtk_smi_bwc,camera_dpe_isp40,camera_fdvt_isp40,camera_mem,ccu_isp4,mdp_drv_mt6768,mtk_jpeg,mtk_vcodec_enc_v1,mtk_vcodec_dec_v1,iommu_gz,mediatek_drm,mtk_mml_legacy,mmqos_common,mtk_smi_dbg
mtk_emi                24576  0 
mtk_dvfsrc_regulator    28672  15 
mtk_dvfsrc             77824  9 mtk_cm_mgr_mt6768,mtk_fpsgo,musb_boost,mtk_dvfsrc_devfreq,mtk_dvfsrc_helper,mtk_mmc,mediatek_drm,mtk_emi,mtk_dvfsrc_regulator
dvfsrc_opp_mt6768      16384  0 [permanent]
mtk_cpuidle            16384  2 mcdi,MTK_INTERNAL_SPM
mtk_cpuhp              20480  1 mtk_ppm_v3
mtk_dramc              32768  7 mtk_cm_mgr_mt6768,mtk_perf_common,mtk_dvfsrc_helper,MTK_INTERNAL_SPM,mediatek_drm,mmqos_common,dvfsrc_opp_mt6768,[permanent]
emiisu                 20480  0 
emicen                 16384  0 
emimpu                 36864  5 wlan_drv_gen4m,wmt_drv,scp,sspm_v1,emicen
mt635x_auxadc          28672  0 
mt6358_regulator       40960  32 
mt6397                 65536  0 
mtk_pmic_wrap          77824  0 
pinctrl_mtk_common_v2_debug    24576  2 MTK_INTERNAL_SPM,mtk_mmc_dbg,[permanent]
pinctrl_mt6768         77824  5 [permanent]
pinctrl_mtk_v2         98304  36 pinctrl_mtk_common_v2_debug,pinctrl_mt6768
8250_mtk               32768  0 
mtk_uart_apdma         36864  0 
clk_disable_unused     16384  0 
pd_chk_mt6768          16384  0 
mtk_scpsys_bringup     16384  0 
mtk_scpsys_mt6768      20480  0 
mtk_scpsys             98304  2 mtk_dvfsrc,mtk_scpsys_mt6768
clk_fmeter_mt6768      28672  0 
mt6768_clkmgr          16384  0 [permanent]
clkdbg_mt6768          24576  0 
clkchk_mt6768          24576  1 pd_chk_mt6768
device_apc_common_legacy    40960  3 device_apc_mt6768,mtk_cmdq_drv_ext,clkchk_mt6768
clk_mt6768_pg         188416  1 MTK_INTERNAL_SPM
clk_mt6768             94208  2 snd_soc_mt6768_afe,MTK_INTERNAL_SPM
clk_common            344064  11 fhctl,mtk_gpufreq_mt6768,imgsensor_isp4,mediatek_drm,pd_chk_mt6768,clk_fmeter_mt6768,mt6768_clkmgr,clkdbg_mt6768,clkchk_mt6768,clk_mt6768_pg,clk_mt6768
mtk_wdt                24576  1 
nvmem_mtk_devinfo      16384  0 
log_store              28672  0 
mtk_printk_ctrl        24576  0 
aee_hangdet            32768  0 
monitor_hang           45056  2 mtk_heap_debug
aee_aed                90112  36 wmt_drv,mdp_drv_mt6768,mediatek_eem,CPU_DVFS,snd_soc_mt6768_afe,snd_soc_mtk_common,fhctl,mtk_vcu,mtk_vcodec_common,cmdq_sec_drv,scp,mtk_dvfsrc_helper,MTK_INTERNAL_SPM,thermal_monitor,ccci_md_all,ccci_util_lib,mtk_gpufreq_mt6768,imgsensor_isp4,cache_parity,aee_rs,musb_hdrc,mediatek_drm,mtk_cmdq_drv_ext,mmprofile,iommu_debug,mtk_smi,emimpu,device_apc_common_legacy,clk_common
memory_amms            20480  0 
mrdump                192512  14 mali_kbase_mt6768,gz_log_mod,mtk_heap_debug,MTK_INTERNAL_SPM,ccci_md_all,ccci_util_lib,mtk_gpufreq_mt6768,cache_parity,mtk_mmc_dbg,blocktag,mediatek_drm,aee_hangdet,monitor_hang,aee_aed
bootprof               28672  2 isee,meta
